Date,Close
02/12/2020,40
25/11/2020,45
29/11/2020,52
02/12/2020,12
25/11/2020,13
29/11/2020,15
02/12/2020,34
25/11/2020,36
29/11/2020,47
02/12/2020,9
25/11/2020,11
29/11/2020,14
02/12/2020,20
25/11/2020,24
29/11/2020,44
02/12/2020,15
25/11/2020,16
29/11/2020,19
02/12/2020,25
25/11/2020,50
29/11/2020,54
02/12/2020,2
25/11/2020,29
29/11/2020,31
02/12/2020,36
25/11/2020,44
29/11/2020,50
02/12/2020,13
25/11/2020,20
29/11/2020,21
02/12/2020,24
25/11/2020,32
29/11/2020,50
02/12/2020,2
25/11/2020,5
29/11/2020,15
02/12/2020,34
25/11/2020,45
29/11/2020,46
02/12/2020,1
25/11/2020,6
29/11/2020,31
02/12/2020,32
25/11/2020,43
29/11/2020,47
02/12/2020,6
25/11/2020,21
29/11/2020,23
02/12/2020,25
25/11/2020,28
29/11/2020,48
02/12/2020,19
25/11/2020,21
29/11/2020,26
02/12/2020,50
25/11/2020,55
29/11/2020,56
02/12/2020,10
25/11/2020,11
29/11/2020,23
02/12/2020,28
25/11/2020,32
29/11/2020,34
02/12/2020,6
25/11/2020,13
29/11/2020,16
02/12/2020,40
25/11/2020,41
29/11/2020,53
02/12/2020,11
25/11/2020,12
29/11/2020,18
02/12/2020,29
25/11/2020,33
29/11/2020,50
02/12/2020,15
25/11/2020,23
29/11/2020,43
02/12/2020,44
25/11/2020,50
29/11/2020,55
02/12/2020,13
25/11/2020,14
29/11/2020,17
02/12/2020,35
25/11/2020,39
29/11/2020,54
02/12/2020,14
25/11/2020,28
29/11/2020,40
02/12/2020,42
25/11/2020,43
29/11/2020,45
02/12/2020,9
25/11/2020,19
29/11/2020,39
02/12/2020,46
25/11/2020,49
29/11/2020,56
02/12/2020,10
25/11/2020,12
29/11/2020,20
02/12/2020,29
25/11/2020,46
29/11/2020,47
02/12/2020,6
25/11/2020,7
29/11/2020,31
02/12/2020,33
25/11/2020,42
29/11/2020,52
02/12/2020,15
25/11/2020,22
29/11/2020,35
02/12/2020,44
25/11/2020,50
29/11/2020,53
02/12/2020,3
25/11/2020,6
29/11/2020,9
02/12/2020,16
25/11/2020,25
29/11/2020,42
02/12/2020,3
25/11/2020,6
29/11/2020,12
02/12/2020,21
25/11/2020,43
29/11/2020,51
02/12/2020,3
